course,exam_id,exam_type,original_name,term,term_seq,session,session_source,date,total_points,coverage_from_session,coverage_to_session,cumulative,cumulative_basis,sealed,problems_url,solutions_url,url_verified,role
18.06,18.06-final-2009S,final,Final Exams (paper header: FINAL EXAM),2009S,20091,9000,synthetic,2009-05-19,,,,true,assumed: final exam; no coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Spring09/final-s09.pdf,https://web.mit.edu/18.06/www/Spring09/final-s09-soln.pdf,true,x1_input
18.06,18.06-quiz1-2008F,quiz1,Exam 1 (paper header: Quiz 1),2008F,20083,1000,synthetic,2008-09-29,,,,,n/a: first in-term exam,false,https://web.mit.edu/18.06/www/Fall08/quiz1.pdf,https://web.mit.edu/18.06/www/Fall08/quiz1soln.pdf,true,x1_input
18.06,18.06-quiz2-2008F,quiz2,Exam 2 (paper header: Quiz 2),2008F,20083,2000,synthetic,2008-10-22,,,,,unknown: no calendar or coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Fall08/quiz2.pdf,https://web.mit.edu/18.06/www/Fall08/quiz2soln.pdf,true,x1_input
18.06,18.06-quiz3-2008F,quiz3,Exam 3 (paper header: Quiz 3),2008F,20083,3000,synthetic,2008-11-21,,,,,unknown: no calendar or coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Fall08/quiz3.pdf,https://web.mit.edu/18.06/www/Fall08/quiz3soln.pdf,true,x1_input
18.06,18.06-final-2008F,final,Final,2008F,20083,9000,synthetic,,,,,true,assumed: final exam; no coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Fall08/final1806-f08.pdf,https://web.mit.edu/18.06/www/Fall08/finalsoln.pdf,true,x1_input
18.06,18.06-quiz1-2008S,quiz1,Exam 1,2008S,20081,1000,synthetic,,,,,,n/a: first in-term exam,false,https://web.mit.edu/18.06/www/Spring08/quiz1-1806-S08.pdf,https://web.mit.edu/18.06/www/Spring08/quiz1-1806-S08-soln.pdf,true,x1_input
18.06,18.06-quiz2-2008S,quiz2,Exam 2,2008S,20081,2000,synthetic,,,,,,unknown: no calendar or coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Spring08/quiz2-1806-S08.pdf,https://web.mit.edu/18.06/www/Spring08/quiz2-1806-S08-soln.pdf,true,x1_input
18.06,18.06-quiz3-2008S,quiz3,Exam 3 (paper header: Quiz 3),2008S,20081,3000,synthetic,2008-05-02,,,,,unknown: no calendar or coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Spring08/quiz3-1806-S08.pdf,https://web.mit.edu/18.06/www/Spring08/quiz3-1806-S08-soln.pdf,true,x1_input
18.06,18.06-final-2008S,final,Final Exam,2008S,20081,9000,synthetic,2008-05-20,,,,true,assumed: final exam; no coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Spring08/final-1806-S08.pdf,https://web.mit.edu/18.06/www/Spring08/final-1806-S08-soln.pdf,true,x1_input
18.06,18.06-quiz1-2007F,quiz1,Exam 1 (paper header: Quiz 1),2007F,20073,1000,synthetic,2007-10-03,,,,,n/a: first in-term exam,false,https://web.mit.edu/18.06/www/Fall07/quiz1-1806-F07.pdf,https://web.mit.edu/18.06/www/Fall07/quiz1-1806-F07-sol.pdf,true,x1_input
18.06,18.06-quiz2-2007F,quiz2,Exam 2 (paper header: Quiz 2),2007F,20073,2000,synthetic,2007-10-31,,,,,unknown: no calendar or coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Fall07/quiz2-1806-F07.pdf,https://web.mit.edu/18.06/www/Fall07/quiz2-1806-F07-sol.pdf,true,x1_input
18.06,18.06-quiz3-2007F,quiz3,Exam 3 (paper header: Quiz 3),2007F,20073,3000,synthetic,2007-12-03,,,,,unknown: no calendar or coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Fall07/quiz3-1806-F07.pdf,https://web.mit.edu/18.06/www/Fall07/quiz3-1806-F07-sol.pdf,true,x1_input
18.06,18.06-quiz1-2007S,quiz1,Exam 1 with Solutions (paper header: QUIZ 1; combined file),2007S,20071,1000,synthetic,2007-03-05,,,,,n/a: first in-term exam,false,https://web.mit.edu/18.06/www/Spring07/exam1.pdf,https://web.mit.edu/18.06/www/Spring07/exam1.pdf,true,x1_input
18.06,18.06-quiz2-2007S,quiz2,Exam 2 with Solutions (paper header: QUIZ 2; combined file),2007S,20071,2000,synthetic,2007-04-06,,,,,unknown: no calendar or coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Spring07/exam2.pdf,https://web.mit.edu/18.06/www/Spring07/exam2.pdf,true,x1_input
18.06,18.06-quiz3-2007S,quiz3,Exam 3 with Solutions (paper header: QUIZ 3; combined file),2007S,20071,3000,synthetic,2007-05-07,,,,,unknown: no calendar or coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Spring07/exam3.pdf,https://web.mit.edu/18.06/www/Spring07/exam3.pdf,true,x1_input
18.06,18.06-final-2007S,final,Final with Solutions (paper header: FINAL EXAM; combined file),2007S,20071,9000,synthetic,2007-05-24,,,,true,assumed: final exam; no coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Spring07/final.pdf,https://web.mit.edu/18.06/www/Spring07/final.pdf,true,x1_input
18.06,18.06-quiz1-2006F,quiz1,Exam 1 (paper header: Quiz 1),2006F,20063,1000,synthetic,2006-10-04,,,,,n/a: first in-term exam,false,https://web.mit.edu/18.06/www/Fall06/quiz1-1806-F06.pdf,https://web.mit.edu/18.06/www/Fall06/quiz1-sols-1806-F06.pdf,true,x1_input
18.06,18.06-quiz2-2006F,quiz2,Exam 2 (paper header: Quiz 2),2006F,20063,2000,synthetic,2006-11-01,,,,,unknown: no calendar or coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Fall06/quiz2-1806-F06.pdf,https://web.mit.edu/18.06/www/Fall06/quiz2-sols-1806-F06.pdf,true,x1_input
18.06,18.06-quiz3-2006F,quiz3,Exam 3,2006F,20063,3000,synthetic,,,,,,unknown: no calendar or coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Fall06/quiz3-1806-F06.pdf,https://web.mit.edu/18.06/www/Fall06/quiz3-sols-1806-F06.pdf,true,x1_input
18.06,18.06-final-2006F,final,Final,2006F,20063,9000,synthetic,,,,,true,assumed: final exam; no coverage statement collected for this term,false,https://web.mit.edu/18.06/www/Fall06/final-1806-F06.pdf,https://web.mit.edu/18.06/www/Fall06/final-sols-1806-F06.pdf,true,x1_input
18.06,18.06-quiz1-2006S,quiz1,Exam 1 (only exam listed; Exams 2-3/Final are commented out of the page),2006S,20061,1000,synthetic,,,,,,n/a: first in-term exam,false,https://web.mit.edu/18.06/www/Spring06/quiz1-1806-s06.pdf,https://web.mit.edu/18.06/www/Spring06/quiz1sols-1806-s06.pdf,true,x1_input
